,Unnamed: 0,Author,Published,Comment,Likes,Dislikes,Article,Keyword,Year,Month,Day,Sentiment
2,2,'Rodrigo Braga,2016-05-06T13:43:52,kkkkkk posso ir levo super nintendo prometo,20,1,Nasa apresenta robÃƒÂ´ humanoide \'astronauta\',NASA;;;;;;;;;;;;;;;;;',2016,5,6,Positive
3,3,'Tucanofdp,2016-05-06T14:12:40,voc ser bem vindo rodrigo n s sobreviventes rdua batalha contra m quinas super nintendo pode ajudar contra ataque honraaaaaa,15,0,Nasa apresenta robÃƒÂ´ humanoide \'astronauta\',NASA;;;;;;;;;;;;;;;;;',2016,5,6,Positive
5,5,'Marcele Veiga,2016-05-06T11:18:17,engano m ximo hierarquia celeste ser humano pois lindos bel ssimos deuses criadore ets s passado,2,33,Nasa apresenta robÃƒÂ´ humanoide \'astronauta\',NASA;;;;;;;;;;;;;;;;;',2016,5,6,Positive
11,11,'Comentador,2016-05-06T10:22:59,pois ficou parecendo mistura v rios personagens japoneses homem ferro,12,0,Nasa apresenta robÃƒÂ´ humanoide \'astronauta\',NASA;;;;;;;;;;;;;;;;;',2016,5,6,Positive
24,24,'LisÃƒÂ©rgico D,2011-11-04T10:47:28,previsto nasa maior atividade solar ltimos tempos,0,0,Nasa registra mancha solar gigante,NASA;;;;;;;;;;;;;;;;;',2011,11,4,Positive
44,44,'Caio Oliveira,2011-11-04T14:40:28,nasa previu maximo solar teorias nada haver alguma d vida pesquise sites confi veis evento grandes propor es ja aconteceu s n afetou vida pessoas porque n havia equipamentos eletronicos poucas redes eletricas telegrafos epoca seriamente afetadas hoje ja tecnologia pra prever acontecimentos ainda n suficiente quanto tempo antecedencia,0,0,Nasa registra mancha solar gigante,NASA;;;;;;;;;;;;;;;;;',2011,11,4,Positive
50,50,'Valdemar Junior,2011-11-04T11:32:11,verdade acontece diariamente n tanta intensidade imediato pode provocar apag es sat llites sistema locais r dio podem ser ouvidas lonnngas dist ncias tudo provocada explos es puro fen meno natureza,0,0,Nasa registra mancha solar gigante,NASA;;;;;;;;;;;;;;;;;',2011,11,4,Positive
52,52,'Josiane Souza,2011-11-04T11:20:35,s natureza precisa ser tolo pra acreditar mundo acaba acabar sim ainda resta algumas centenas anos rsrsrsrs,0,0,Nasa registra mancha solar gigante,NASA;;;;;;;;;;;;;;;;;',2011,11,4,Positive
53,53,'Alexandre Alux,2013-06-18T14:50:13,olhem detalhe not cia tyler hague anos coronel rea especializado artefatos explosivos improvisados ser nasa planeja explodir parte asteroide algo tipo,0,0,Nasa nomeia oito novos astronautas,NASA;;;;;;;;;;;;;;;;;',2013,6,18,Positive
54,54,'Carlos Daves,2014-04-02T12:42:17,est investindo bilh es programas explora espacial exemplo projeto empresa holandesa mars one vai arrecadar cerca r bilh es levar alguns cobaias marte n quero alarmar j sabe vig ncia terra est expirar ent voc n quer ser cobaia quiser n selecionado pergunta ser feita h agora poder defender,11,22,Nasa capta poderosa erupÃƒÂ§ÃƒÂ£o no Sol,NASA;;;;;;;;;;;;;;;;;',2014,4,2,Positive
77,77,'Alex Carvalho,2013-02-21T21:58:12,bom sonda parabens,19,10,Nasa divulga imagem colorida do planeta MercÃƒÂºrio,NASA;;;;;;;;;;;;;;;;;',2013,2,21,Positive
80,80,'Guilherme, 25 Fev 2013 14:05:32,pois pessoal ocorre frequentemente vida real coisas n apenas causa atmosfera barrando objetos menores fen menos clim ticos naturais geol gicos escondendo evid ncias impactos corpos maiores enfim tudo colabora n termos tantas crateras vis veis quanto vizinhos c smicos,14,6,Nasa divulga imagem colorida do planeta MercÃƒÂºrio,NASA;;;;;;;;;;;;;;;;;',2013,2,25,Positive
86,86,'Bernardo Botafogo,2018-10-23T18:16:00,claro c oisa alien genas agroglifos marcas campos planta natureza n faz nada assim forma geom trica,69,46,Nasa fotografa iceberg em formato de tÃƒÂ¡bua,NASA;;;;;;;;;;;;;;;;;',2018,10,23,Positive
89,89,'Carlindo Alves,2018-10-24T13:01:49,opini observador bloco gelo deveria ser aproveitado fornecer gua doce regi es problem ticas ridas processo desprendimento normal ciclos geol gicos,4,7,Nasa fotografa iceberg em formato de tÃƒÂ¡bua,NASA;;;;;;;;;;;;;;;;;',2018,10,24,Positive
92,92,'MaurÃƒÂ­cio JosÃƒÂ©,2018-10-24T01:57:34,h menos dias ovnis avistados chile pilotos avi es comerciais podem pesquisar l gico iceberg recortado perfeitamente tecnologia alien gena decorr ncia evento natural nunca formato,11,6,Nasa fotografa iceberg em formato de tÃƒÂ¡bua,NASA;;;;;;;;;;;;;;;;;',2018,10,24,Positive
94,94,'Palmeiras NÃƒÂ£o-tem-mundial,2018-10-24T12:44:56,cool,3,3,Nasa fotografa iceberg em formato de tÃƒÂ¡bua,NASA;;;;;;;;;;;;;;;;;',2018,10,24,Positive
103,103,'Bom Homem,2018-10-23T21:09:29,n conseguem ver base onde extras pousam bom luia,5,6,Nasa fotografa iceberg em formato de tÃƒÂ¡bua,NASA;;;;;;;;;;;;;;;;;',2018,10,23,Positive
116,116,'Papai Sensato,2018-10-23T16:40:20,interessante extremidades serem perfeitamente retas natureza t usando r gua ahuaha,18,2,Nasa fotografa iceberg em formato de tÃƒÂ¡bua,NASA;;;;;;;;;;;;;;;;;',2018,10,23,Positive
119,119,'Joao Assis,2018-10-23T15:37:59,ate nasa usando recursos photoshop imagens kkkkkkkk bloco quadrado perfeito ter sido trabalhando naturalmente natureza,18,46,Nasa fotografa iceberg em formato de tÃƒÂ¡bua,NASA;;;;;;;;;;;;;;;;;',2018,10,23,Positive
120,120,'Aparecido Pereira,2018-10-23T17:00:08,tal vez todo respeito arca,1,2,Nasa fotografa iceberg em formato de tÃƒÂ¡bua,NASA;;;;;;;;;;;;;;;;;',2018,10,23,Positive
121,121,'Jeremias Gouveia,2018-10-23T18:58:21,valdo bom lugar mandar,0,1,Nasa fotografa iceberg em formato de tÃƒÂ¡bua,NASA;;;;;;;;;;;;;;;;;',2018,10,23,Positive
130,130,'Francisco Nunes,2018-10-23T15:02:10,paraaa honraaa gloria senhor jesuisxxxxxxxx gloria deusssxxxxx kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,50,6,Nasa fotografa iceberg em formato de tÃƒÂ¡bua,NASA;;;;;;;;;;;;;;;;;',2018,10,23,Positive
139,139,'William,2018-10-23T17:22:35,uber ainda melhor,4,5,Nasa fotografa iceberg em formato de tÃƒÂ¡bua,NASA;;;;;;;;;;;;;;;;;',2018,10,23,Positive
151,151,'Frederico Gimenes,2018-10-23T13:31:33,cada quadrado juro vi bem escantilhado nele,213,90,Nasa fotografa iceberg em formato de tÃƒÂ¡bua,NASA;;;;;;;;;;;;;;;;;',2018,10,23,Positive
154,154,'Tunnel Rats,2018-10-23T15:05:09,gente acredita nessa lorota feito algu m forma t uniforme,7,8,Nasa fotografa iceberg em formato de tÃƒÂ¡bua,NASA;;;;;;;;;;;;;;;;;',2018,10,23,Positive
159,159,'Fernando Oliveira,2018-10-23T14:37:29,parte devido zoom lente fotografia quanto maior aproxima isom trica coisas tornam d notar peda gelo esquerda tamb m encontra quadrado assim fotografia impressionante nasa mandando bem sempre,10,8,Nasa fotografa iceberg em formato de tÃƒÂ¡bua,NASA;;;;;;;;;;;;;;;;;',2018,10,23,Positive
161,161,'Gabriel Machado,2018-10-23T14:28:16,bela imagem,16,1,Nasa fotografa iceberg em formato de tÃƒÂ¡bua,NASA;;;;;;;;;;;;;;;;;',2018,10,23,Positive
163,163,'Eduardo,2018-10-23T14:16:51,ngulos n s agudos s retos iceberg n parece quadrado sim paralelep pedo santo jornalismo rudimentar,32,4,Nasa fotografa iceberg em formato de tÃƒÂ¡bua,NASA;;;;;;;;;;;;;;;;;',2018,10,23,Positive
165,165,'Samir Khalil,2018-10-23T14:07:11,t caminho curitiba pr certo presidi rio ir pondo bebida,28,10,Nasa fotografa iceberg em formato de tÃƒÂ¡bua,NASA;;;;;;;;;;;;;;;;;',2018,10,23,Positive
166,166,'JoÃƒÂ£o Paulo,2018-10-23T14:13:31,pra vc ver at deus gosta,18,20,Nasa fotografa iceberg em formato de tÃƒÂ¡bua,NASA;;;;;;;;;;;;;;;;;',2018,10,23,Positive
174,174,'AbsalÃƒÂ£o Carneiro,2018-10-23T13:27:38,entomolojista renome formado falcudade ci ncias sociaus quixeramobim cear estudo icebergue h anos po afirmar algum gaiato serrou bloco gelo mode dizer ets miinh has condol len,26,13,Nasa fotografa iceberg em formato de tÃƒÂ¡bua,NASA;;;;;;;;;;;;;;;;;',2018,10,23,Positive
180,180,'Eduardo Souza,2018-10-23T13:44:21,n h quadrado nenhum face superior pode ser ret ngulo,11,1,Nasa fotografa iceberg em formato de tÃƒÂ¡bua,NASA;;;;;;;;;;;;;;;;;',2018,10,23,Positive
183,183,'Joaquim Dim,2012-10-16T12:46:55,linha frente alien gena protegendo nave m j piter outra linha defesa retaguarda todos seres extraterrestres naves tecnologia superior desfar ados planeta aster ides dentro rbita continuar ambicioso plano conquistar universo,2,2,Nasa divulga novas informaÃƒÂ§ÃƒÂµes sobre asteroides \'misteriosos\',NASA;;;;;;;;;;;;;;;;;',2012,10,16,Positive
191,191,'Sergio Frossard,2011-11-15T11:27:49,ir marte fazer n conhece lua direito,0,0,Nasa treinarÃƒÂ¡ nova geraÃƒÂ§ÃƒÂ£o de astronautas,NASA;;;;;;;;;;;;;;;;;',2011,11,15,Positive
193,193,'Felipe Feder,2011-11-15T09:43:48,wagner n prenda vis verdade alguns sites gostam fazer pol micas pesquise fundo ver todos pontos fundamenta argumento homens n lua s perfeitamente rebatidos explicados v estudar bom dia,0,0,Nasa treinarÃƒÂ¡ nova geraÃƒÂ§ÃƒÂ£o de astronautas,NASA;;;;;;;;;;;;;;;;;',2011,11,15,Positive
194,194,'Wagner Oliveira,2011-11-15T09:09:39,retornar lua n certo ir lua primeira vez fanfarr es,0,0,Nasa treinarÃƒÂ¡ nova geraÃƒÂ§ÃƒÂ£o de astronautas,NASA;;;;;;;;;;;;;;;;;',2011,11,15,Positive
196,196,'Marilucio Caires,2011-11-15T15:55:56,mat ria interessante homem est preste d grande passo n coragem participar miss desta natureza pudesse participaria neste projeto equipe apoio terra firme nasa,0,0,Nasa treinarÃƒÂ¡ nova geraÃƒÂ§ÃƒÂ£o de astronautas,NASA;;;;;;;;;;;;;;;;;',2011,11,15,Positive
202,202,'Geraldo Gomes,2018-08-12T10:24:07,n podem adiar pois aproveitar passagem v nus ir ajudar orientar trajet ria rumo sol,1,0,Nasa adia lanÃƒÂ§amento da sonda solar Parker,NASA;;;;;;;;;;;;;;;;;',2018,12,8,Positive
206,206,'Ulisses Bahia,2018-08-11T17:05:38,verdadeira maravilha capacidade racioc nio l gico homem verdadeiramente surpreendente vejo bastante expectativa miss nasa tor fervorosamente sucesso gigantismo dessa jornada rbita sol,18,2,Nasa adia lanÃƒÂ§amento da sonda solar Parker,NASA;;;;;;;;;;;;;;;;;',2018,11,8,Positive
210,210,'Milton L,2018-04-16T18:28:45,fant stico nada imposs vel imagina ci ncia trabalho continuaremos viajantes navegadores exploradores ultrapassando qualquer fronteira q apare frente legado ra humana,10,3,Nasa vai lanÃƒÂ§ar satÃƒÂ©lite para \'caÃƒÂ§ar\' planetas,NASA;;;;;;;;;;;;;;;;;',2018,4,16,Positive
223,223,'Tiago Veiga,2012-10-11T09:34:30,acho afirmar n ser ateu acredito acaso pode ter formulado condi es necess rias universo jeito conhecemos hoje incluindo vida tamb m acredito divina intervido ocorresse pois tudo perfeitamente calculado distancias condi es evolu ci ncia est pra provar ocorreu problema algumas pessoas n conseguem mensurar tempo levou acreditam tipo coisa imposs vel vida terrra existe milh es anos milh es s,1,0,Nasa divulga novas imagens de nebulosas planetÃƒÂ¡rias,NASA;;;;;;;;;;;;;;;;;',2012,11,10,Positive
224,224,'Nathan AraÃƒÂºjo,2012-10-11T07:32:24,simplesmente esplendorosas,1,0,Nasa divulga novas imagens de nebulosas planetÃƒÂ¡rias,NASA;;;;;;;;;;;;;;;;;',2012,11,10,Positive
227,227,'Marcelo Andrade, 11 Out 2012 12:34:23,modesta opini universo modus operandi prova deus existe pois universo n aleat rio sentido einstein acreditava deus n acredito papas pastores rabinos entreoutros falem nome deus saibam eisntein f diferen infinito ci ncia,0,0,Nasa divulga novas imagens de nebulosas planetÃƒÂ¡rias,NASA;;;;;;;;;;;;;;;;;',2012,10,11,Positive
228,228,'Luciano,2012-10-11T10:15:31,prezado diogo querol apesar ignor ncia ser d diva rrsrsrs acho voc deveria estudar pouco,0,0,Nasa divulga novas imagens de nebulosas planetÃƒÂ¡rias,NASA;;;;;;;;;;;;;;;;;',2012,11,10,Positive
234,234,'JoÃƒÂ£o Silva,2012-10-11T18:08:44,melhor vamos pra baleia,0,0,Nasa divulga novas imagens de nebulosas planetÃƒÂ¡rias,NASA;;;;;;;;;;;;;;;;;',2012,11,10,Positive
237,237,'Borges Reis,2014-02-26T21:32:47,perfeito,2,0,Nasa anuncia descoberta de 715 novos planetas,NASA;;;;;;;;;;;;;;;;;',2014,2,26,Positive
238,238,'MÃƒÂ¡rio Carmo,2014-02-27T09:39:27,pode at ser f cil procurar vida conhecemos tentar pesquisar formas vida bases biol gicas diferentes existirem formas distintas intelig ncia nelas seguramente ter interferido respectivos planetas poder ser descoberto n s hora concordo pesquisa baseada conhecimentos necess rio dar suporte vida,0,0,Nasa anuncia descoberta de 715 novos planetas,NASA;;;;;;;;;;;;;;;;;',2014,2,27,Positive
246,246,'George Silva,2014-02-27T06:38:07,chupa ateus acabamos descobrir deus fez algumas obras s alterar b blia agora,19,26,Nasa anuncia descoberta de 715 novos planetas,NASA;;;;;;;;;;;;;;;;;',2014,2,27,Positive
248,248,'George Silva,2014-03-01T06:29:55,ten rio cavalcanti rsrsrsr inteligente voc d,1,0,Nasa anuncia descoberta de 715 novos planetas,NASA;;;;;;;;;;;;;;;;;',2014,1,3,Positive
251,251,'Guilherme,2014-02-27T08:42:55,boa sorte ateus escolherem nomes planetas usar nomes deuses inspira,10,16,Nasa anuncia descoberta de 715 novos planetas,NASA;;;;;;;;;;;;;;;;;',2014,2,27,Positive
260,260,'Luiz Correa,2014-02-27T10:36:05,antonio oliveira acredito est portugu s bem escrito,0,2,Nasa anuncia descoberta de 715 novos planetas,NASA;;;;;;;;;;;;;;;;;',2014,2,27,Positive
264,264,'Paulo Fernandes,2014-02-26T18:30:03,n sabem gua marte ent calcule podem detectar gua rocha planeta encontrado altera es brilho estrela fascinado coisas n podemos deixar ilustra es art sticas iludirem n chegar neles anos,27,6,Nasa anuncia descoberta de 715 novos planetas,NASA;;;;;;;;;;;;;;;;;',2014,2,26,Positive
269,269,'Ruy Sylva,2014-02-27T10:03:51,ser desses h felicidade,5,0,Nasa anuncia descoberta de 715 novos planetas,NASA;;;;;;;;;;;;;;;;;',2014,2,27,Positive
274,274,'Renato Lima,2014-02-27T08:16:25,porque n pesquisam fundo desconhecido oceanos maneira eficiente preservar recursos naturais aqui terra bem produtivo barato til humanidade ficar bisbilhotando n trar nenhum benef cio,8,36,Nasa anuncia descoberta de 715 novos planetas,NASA;;;;;;;;;;;;;;;;;',2014,2,27,Positive
275,275,'Terry Silva,2014-02-27T08:58:41,j existem pesquisas oceano assim pesquisas espaciais ambas s importante conhecimento cient fico humanidade,5,0,Nasa anuncia descoberta de 715 novos planetas,NASA;;;;;;;;;;;;;;;;;',2014,2,27,Positive
276,276,'MÃƒÂ¡rio Carmo,2014-02-27T09:32:53,existem pesquisas nesse sentido s s ramos distintos fato pesquisar espa n significa n pesquisem oceano esfor identificar novas formas vida oceanos s grandes tamb m h prefira pesquisar espa ci ncia n pode ser restrita rea apenas,1,0,Nasa anuncia descoberta de 715 novos planetas,NASA;;;;;;;;;;;;;;;;;',2014,2,27,Positive
277,277,'Angelo Malaquias,2014-02-26T21:32:09,d pra ver planetas t m satelites suficientemente grandes lua pois lua es es vida conhecemos,3,70,Nasa anuncia descoberta de 715 novos planetas,NASA;;;;;;;;;;;;;;;;;',2014,2,26,Positive
281,281,'Terry Silva,2014-02-27T09:12:53,c rangel vc n sabe feita detec desses totalmente forma indireta pode ser vida alguns desses planetas descobertos ningu m saiba at termos tecnologia suficiente ver diretamente n indiretamente feito,1,0,Nasa anuncia descoberta de 715 novos planetas,NASA;;;;;;;;;;;;;;;;;',2014,2,27,Positive
285,285,'Pedro Neto,2014-02-27T08:31:08,tantos comentarios maioria santa ingnorancia rsrsrs,15,0,Nasa anuncia descoberta de 715 novos planetas,NASA;;;;;;;;;;;;;;;;;',2014,2,27,Positive
290,290,'Donato Ramos,2014-02-27T02:39:52,po arrumar substituto potente pro kepler r pido poss vel ficar telesc pio ficarmos cegos,11,1,Nasa anuncia descoberta de 715 novos planetas,NASA;;;;;;;;;;;;;;;;;',2014,2,27,Positive
295,295,'TenÃƒÂ³rio Cavalcanti,2014-02-26T23:27:36,timo candidato pres dio bem perto sol,1,2,Nasa anuncia descoberta de 715 novos planetas,NASA;;;;;;;;;;;;;;;;;',2014,2,26,Positive
304,304,'Duel.,2014-02-26T19:52:16,perd bom senso obrigado,4,0,Nasa anuncia descoberta de 715 novos planetas,NASA;;;;;;;;;;;;;;;;;',2014,2,26,Positive
305,305,'Nelson Santos,2014-02-26T19:10:48,al m tudo devemos considerar movimento rota helicoidal planetas solares melhor compreens vejam recanto letras livros fic ci ncia autoria nasan xantox,0,3,Nasa anuncia descoberta de 715 novos planetas,NASA;;;;;;;;;;;;;;;;;',2014,2,26,Positive
306,306,'Nelson Santos,2014-02-26T19:08:50,al m disso vamos considerar movimento rota helicoidal planetas fazem parte bra orion vejam livro recanto letras fic ci ncia autor nasan xantox q,0,2,Nasa anuncia descoberta de 715 novos planetas,NASA;;;;;;;;;;;;;;;;;',2014,2,26,Positive
307,307,'Kamylo,2014-02-26T19:08:06,n acho sozinhos ser grande desperd cio espa,21,3,Nasa anuncia descoberta de 715 novos planetas,NASA;;;;;;;;;;;;;;;;;',2014,2,26,Positive
310,310,'Paulo Henrik,2014-01-26T21:54:30,fl vio costa pq vc n conhece obtura es dent rias ouro,0,0,Nasa investiga rocha misteriosa descoberta em Marte,NASA;;;;;;;;;;;;;;;;',2014,1,26,Positive
311,311,'ClÃƒÂ³vis Favarim,2014-01-27T09:44:56,huahauhauaha ouro beeeeem molinho,1,0,Nasa investiga rocha misteriosa descoberta em Marte,NASA;;;;;;;;;;;;;;;;;',2014,1,27,Positive
336,336,'Marcio Silveira,2012-07-07T09:41:37,meio cantos est parecendo loteamentos canto direito foto at antena tv est agora s preciso descobrir igreja vendendao lotemanto marte come ar pagar dizimo garantir terrinho l,0,0,Nasa divulga imagem inÃƒÂ©dita com paisagem marciana,NASA;;;;;;;;;;;;;;;;;',2012,7,7,Positive
344,344,'Walter Filho,2012-07-07T09:43:42,lugar ideal mandar mos deputados senadores alguns ministros corruptos agua,0,0,Nasa divulga imagem inÃƒÂ©dita com paisagem marciana,NASA;;;;;;;;;;;;;;;;;',2012,7,7,Positive
355,355,'Marcelo Loreto,2012-07-07T10:04:08,show ainda ficar olhando colocar imagina pra funcionar s n consigo entender ainda universo n eterno infinito,0,0,Nasa divulga imagem inÃƒÂ©dita com paisagem marciana,NASA;;;;;;;;;;;;;;;;;',2012,7,7,Positive
357,357,'Jorge Silveira,2012-07-07T10:32:36,wanda amor voc pessoa doente ainda h tempo tratar procure unidade sa p blica pr xima comunidade atendimento gratuito sabe podem ajudar curar del rios sobre viagens xenofobia inversa complexo vira latas caso contr rio deus pena alma vou rezar voc,0,0,Nasa divulga imagem inÃƒÂ©dita com paisagem marciana,NASA;;;;;;;;;;;;;;;;;',2012,7,7,Positive
362,362,'Cesar Bosco,2012-07-07T10:16:23,wanda gomes brasileira bes ta faz tantas viagens gastar dinheiro naquele pa s pois aqui brasil muitos lugares lindos gente bem educadas civilizadas invez gastar dinheiro la pq conhecer alguns lugares interior brasil muitas cidades belissimas vc esquesse intolerancia racial q impera pq primeiro presidente negro historia muita coisa mudou la ser vc branca olhos verdes azul dar bem l,0,0,Nasa divulga imagem inÃƒÂ©dita com paisagem marciana,NASA;;;;;;;;;;;;;;;;;',2012,7,7,Positive
364,364,'Ramon Souza,2012-07-07T11:25:28,wanda gomes vc n gosta brasil vc n estudou diarista aqui ai eua trabalhar faxina limpar lixo agora fica falando borrachinha ai vc deve ser pessoas n pode subir misero degral vida fica ego meio b u n d i d i t eua povo patriota vc achando vc apredeu amar patria n b u r r,0,0,Nasa divulga imagem inÃƒÂ©dita com paisagem marciana,NASA;;;;;;;;;;;;;;;;;',2012,7,7,Positive
368,368,'Woxxfull,2012-07-07T10:56:54,wanda monkey j disse n preciso visto pois triplo descend ncia alem espanhol brasileira monkey eua s t terrorista qualquer iraquiano aposto voc monkey s conhece crise jornal aposto voc nunca pra espanha espanha melhor eua pode pergunta qualquer alem v responder,0,0,Nasa divulga imagem inÃƒÂ©dita com paisagem marciana,NASA;;;;;;;;;;;;;;;;;',2012,7,7,Positive
370,370,'Don Corleone,2012-07-07T11:48:04,muita tecnologia gostei imagem,0,0,Nasa divulga imagem inÃƒÂ©dita com paisagem marciana,NASA;;;;;;;;;;;;;;;;;',2012,7,7,Positive
371,371,'Marcelo C,2012-07-07T11:41:18,woxxfull juarez arrumem quarto amor deus acho vcs apaixonaram,0,0,Nasa divulga imagem inÃƒÂ©dita com paisagem marciana,NASA;;;;;;;;;;;;;;;;;',2012,7,7,Positive
372,372,'Woxxfull,2012-07-07T11:27:56,juarez oliveira voc calado poeta opini outros tava falando mal brasil n opini ignor ncia ent fica calado n mete onde n deve,0,0,Nasa divulga imagem inÃƒÂ©dita com paisagem marciana,NASA;;;;;;;;;;;;;;;;;',2012,7,7,Positive
378,378,'Maria Silva,2012-07-07T12:09:22,adoro mat rias s facinantes dei lida coment rios anteriores falar woxxfull vc acha s pq cidade natal s paulo conhe bem vc acha direito descriminar algu m ventura nascido piau rsrsrs deixa claro falta cultura conhecimento rspeito pr ximo,0,0,Nasa divulga imagem inÃƒÂ©dita com paisagem marciana,NASA;;;;;;;;;;;;;;;;;',2012,7,7,Positive
382,382,'Ramon Souza,2012-07-07T14:03:51,wanda gomes rela dupla cidadania nascer brasil rela foto calcinha vc comentou post anterior acho q neste sentido podemos entender,0,0,Nasa divulga imagem inÃƒÂ©dita com paisagem marciana,NASA;;;;;;;;;;;;;;;;;',2012,7,7,Positive
388,388,'Vinicius Melo,2012-07-07T11:22:54,lendo coment rios presentes neste tipo mat ria percebe n vel educa cultura povo brasileiro lament vel,0,0,Nasa divulga imagem inÃƒÂ©dita com paisagem marciana,NASA;;;;;;;;;;;;;;;;;',2012,7,7,Positive
392,392,'Sandro Medeiros,2012-07-07T14:21:48,lembro perfeitamente internet brasil ainda poucos posso afirmar outro n vel tipos coment rios vistos aqui g,0,0,Nasa divulga imagem inÃƒÂ©dita com paisagem marciana,NASA;;;;;;;;;;;;;;;;;',2012,7,7,Positive
393,393,'Antonio Pontes,2012-07-07T14:15:54,bem dizia gen joao batista figueiredo povo nao sabe escovar dentes nao pode votar,0,0,Nasa divulga imagem inÃƒÂ©dita com paisagem marciana,NASA;;;;;;;;;;;;;;;;;',2012,7,7,Positive
397,397,'Tiago Campos,2012-07-07T15:46:43,maior problema intera pessoas internet continua sendo todos acharem dono verdade absoluta,0,0,Nasa divulga imagem inÃƒÂ©dita com paisagem marciana,NASA;;;;;;;;;;;;;;;;;',2012,7,7,Positive
401,401,'George Alves,2012-07-07T19:01:43,adoro not cias sobre marte universo gal xias etc gostaria saber onde baixar imagem nasa divulgou t lo papel parede,0,0,Nasa divulga imagem inÃƒÂ©dita com paisagem marciana,NASA;;;;;;;;;;;;;;;;;',2012,7,7,Positive
405,405,'Celso Andrade,2012-07-07T19:18:07,imateriais lula pt criaram marte tiraram foto provar,0,0,Nasa divulga imagem inÃƒÂ©dita com paisagem marciana,NASA;;;;;;;;;;;;;;;;;',2012,7,7,Positive
408,408,'Realidade,2012-08-07T04:20:29,foto arizona base treinamento pois bem parecido terreno marciano algum equ voco nomenclatura foto,0,0,Nasa divulga imagem inÃƒÂ©dita com paisagem marciana,NASA;;;;;;;;;;;;;;;;;',2012,7,8,Positive
413,413,'AmÃƒÂ©rico Wermelinger,2012-08-06T22:15:08,curiosity feito extraordin rio idealizado realizado pessoas diferenciadas contrastando tudo vejo engenhosidade ser humano versos imbecilidade vejo coment rios abaixo,0,0,Nasa divulga imagem inÃƒÂ©dita com paisagem marciana,NASA;;;;;;;;;;;;;;;;;',2012,6,8,Positive
417,417,'Vladmir Yuri,2012-07-08T10:54:27,fico irado escuto desta jipe robo vem ser jipe ja vi falar utilitario agora pertence achrysler chamado jeep caso eh modelo utilitario jipe robo ai credo ate doi ouvidos eh verdade veiculo automato radio controlado sim definicao correcta veiculo agora traduzir ingles nome jeep ai ai,0,0,Nasa divulga imagem inÃƒÂ©dita com paisagem marciana,NASA;;;;;;;;;;;;;;;;;',2012,8,7,Positive
418,418,'Maysa Reis,2012-07-08T09:41:43,perdoai senhor n sabem dizem,0,0,Nasa divulga imagem inÃƒÂ©dita com paisagem marciana,NASA;;;;;;;;;;;;;;;;;',2012,8,7,Positive
422,422,'Realidade,2012-08-07T03:40:52,acho tr gico ac falo fan ticos religiosos at b blia diz idolatria feiti aria outros pecado s pecadores pois vivera adorar pastores gostam ganhar dinheiro custa desses ignorantes fazer fortuna comprando emissoras tv radio fazendas avi es muitos outros pe deus criador universo perdoe pecadores usam nome deus tudo pecado tamb m usar nome deus v exageradamente m acredito deus acho outro lugar homens bem porque mundo est perdido,0,0,Nasa divulga imagem inÃƒÂ©dita com paisagem marciana,NASA;;;;;;;;;;;;;;;;;',2012,7,8,Positive
429,429,'Eriovaldo Sto,2011-10-17T22:06:11,ta aumentando tamanho brilho eta carinae quer dizer daqui uns tempos mes noite,0,0,SatÃƒÂ©lite da Nasa obtÃƒÂ©m imagens inÃƒÂ©ditas de supernovas,NASA;;;;;;;;;;;;;;;;;',2011,10,17,Positive
430,430,'Thiago Silva,2011-10-18T10:24:05,verdade luz j chegou at n s sim s assim poss vel ver fen meno conforme mat ria nova visualiza feita raios x comprimento onda n vis vel chance n haver noite aumento atividade luz vis vel pra dist ncia mil anos luz ser espantoso,0,0,SatÃƒÂ©lite da Nasa obtÃƒÂ©m imagens inÃƒÂ©ditas de supernovas,NASA;;;;;;;;;;;;;;;;;',2011,10,18,Positive
433,433,'Gabriel Alves,2011-11-05T10:47:13,claro esplodiu nebulosas formam partir explos precisa saber nebulosa vai formar sistema planet rio,0,0,SatÃƒÂ©lite da Nasa obtÃƒÂ©m imagens inÃƒÂ©ditas de supernovas,NASA;;;;;;;;;;;;;;;;;',2011,5,11,Positive
434,434,'Fabiano,2011-11-04T11:24:29,thiago silva luz nebulosa sim explos grande estrela n ali s sabemos fato j explodiu,0,0,SatÃƒÂ©lite da Nasa obtÃƒÂ©m imagens inÃƒÂ©ditas de supernovas,NASA;;;;;;;;;;;;;;;;;',2011,4,11,Positive
437,437,'Jefferson Oliveira,2011-10-27T09:57:47,todo ano mesma coisa mon es tanta tecnologia amenizar impactos embora thail ndia longe ser pa s economia desenvolvida pr tica corrup sempre acha final muitas vezes paga vida popula miser vel,0,0,SatÃƒÂ©lite da Nasa mostra inundaÃƒÂ§ÃƒÂ£o na cidade tailandesa de Ayutthaya,NASA;;;;;;;;;;;;;;;;;',2011,10,27,Positive
441,441,'Icaro Xavier,2012-07-31T21:12:15,procurem sobre tema leiam revistam cientificas serias assistam document rios entrevistas sobre tema nenhum momento dito est totalmente descartado vida marte contrario cientistas afirmam h boa chance existir subsolo nao exista pode ter existido passado opini significaria mesma coisa,0,0,Nasa mostra como sonda vai pousar em Marte,NASA;;;;;;;;;;;;;;;;;',2012,7,31,Positive
