,Unnamed: 0,Author,Published,Comment,Likes,Dislikes,Article,Keyword,Year,Month,Day,Sentiment
96,96,'Jose Santos,2018-10-24T09:07:17,iceberg km largura quanto ter comprimento paredes retas sim tricas superf cie aplainada tamanho formato deixa qualquer intrigado ali s nunca ouvi falar iceberg formato pois natureza aleat ria formas denotam intelig ncia sabe vir,15,2,Nasa fotografa iceberg em formato de tÃƒÂ¡bua,NASA;;;;;;;;;;;;;;;;;',2018,10,24,Negative
97,97,'Tarcisio,2018-10-24T06:53:23,certeza algo alien gena est levando gua pot vel pro planeta enquanto s est levando acho futuro n t distante estar invadindo retomando planeta terra,8,10,Nasa fotografa iceberg em formato de tÃƒÂ¡bua,NASA;;;;;;;;;;;;;;;;;',2018,10,24,Negative
99,99,'Vinicius Alexandre,2018-10-24T01:05:26,parece montagem bixo toda tecnologia espacial n conseguem bater foto bagulho todo,14,1,Nasa fotografa iceberg em formato de tÃƒÂ¡bua,NASA;;;;;;;;;;;;;;;;;',2018,10,24,Negative
101,101,'Leandro Comedia,2018-10-23T23:07:02,caras vao vir la outro universo pra ficar brincando cortar gelo aqui terra lugar dificilmente algu m veria algo povo acredita et deus,13,9,Nasa fotografa iceberg em formato de tÃƒÂ¡bua,NASA;;;;;;;;;;;;;;;;;',2018,10,23,Negative
107,107,'Carlos Alberto,2018-10-23T19:29:54,foto mau feita,8,5,Nasa fotografa iceberg em formato de tÃƒÂ¡bua,NASA;;;;;;;;;;;;;;;;;',2018,10,23,Negative
114,114,'Walter Garcia,2018-10-23T19:03:12,prova definitiva indiscut vel terra redonda s n v cego,1,1,Nasa fotografa iceberg em formato de tÃƒÂ¡bua,NASA;;;;;;;;;;;;;;;;;',2018,10,23,Negative
129,129,'Mais OpiniÃƒÂ£o,2018-10-23T18:45:57,terra tabular sinais fortes sinais,1,2,Nasa fotografa iceberg em formato de tÃƒÂ¡bua,NASA;;;;;;;;;;;;;;;;;',2018,10,23,Negative
134,134,'Marcus Araujo,2018-10-23T17:14:30,acho pista pouso nave et fruto corrup intergal tica pois constru ram onde liga nada alugar nenhum fazemos aqui contaminando et,7,0,Nasa fotografa iceberg em formato de tÃƒÂ¡bua,NASA;;;;;;;;;;;;;;;;;',2018,10,23,Negative
136,136,'Jonas Santana,2018-10-23T17:32:01,gelo linha reta esquadria fake intervers humana n humana natural n poss vel,7,3,Nasa fotografa iceberg em formato de tÃƒÂ¡bua,NASA;;;;;;;;;;;;;;;;;',2018,10,23,Negative
145,145,'Ovatsug9,2018-10-23T16:32:57,serio pleno seculo xxi ainda gente acha tudo nasa fala mentira,10,2,Nasa fotografa iceberg em formato de tÃƒÂ¡bua,NASA;;;;;;;;;;;;;;;;;',2018,10,23,Negative
150,150,'Denise Neves,2018-10-23T15:56:26,estranho,22,4,Nasa fotografa iceberg em formato de tÃƒÂ¡bua,NASA;;;;;;;;;;;;;;;;;',2018,10,23,Negative
156,156,'Lucas Brasileiro,2018-10-23T13:48:00,culpa bolso perdeu voto,24,23,Nasa fotografa iceberg em formato de tÃƒÂ¡bua,NASA;;;;;;;;;;;;;;;;;',2018,10,23,Negative
162,162,'Adriano Brzozoski,2018-10-23T14:18:52,at globo fake feio,4,18,Nasa fotografa iceberg em formato de tÃƒÂ¡bua,NASA;;;;;;;;;;;;;;;;;',2018,10,23,Negative
164,164,'Fabiano GaÃƒÂºcho,2018-10-23T14:15:48,linhas retas concluir parece t bua deveriam mostrar inteiro assim combate fake,26,2,Nasa fotografa iceberg em formato de tÃƒÂ¡bua,NASA;;;;;;;;;;;;;;;;;',2018,10,23,Negative
168,168,'Morre Diabo,2018-10-23T13:37:38,nasa ainda continua enganando brazucas burros ignorantes digo repito homem nunca lua terra oval,17,57,Nasa fotografa iceberg em formato de tÃƒÂ¡bua,NASA;;;;;;;;;;;;;;;;;',2018,10,23,Negative
170,170,'Samir Khalil,2018-10-23T14:08:56,terra formato cabe pai pergunte mulher morre diabo,5,3,Nasa fotografa iceberg em formato de tÃƒÂ¡bua,NASA;;;;;;;;;;;;;;;;;',2018,10,23,Negative
