,Unnamed: 0,Author,Published,Comment,Likes,Dislikes,Article,Keyword,Year,Month,Day,Sentiment
7798,7798,'Antonio Silva,2016-12-08T21:24:57,est pido assim vive acaso natureza,17,2,"John Glenn, astronauta americano, morre aos 95 anos",Astronauta;;;;;;;;;;;;;;;;;',2016,8,12,Negative
7806,7806,'O Predestinado,2016-12-08T20:16:37,pena ter batido botas ainda sonho conhecer homenzinhos verdes,2,6,"John Glenn, astronauta americano, morre aos 95 anos",Astronauta;;;;;;;;;;;;;;;;;',2016,8,12,Negative
7808,7808,'Rodrigo Rocha,2015-12-04T17:16:12,fala pra passar lua tirar selfie bandeira americana msm la,8,11,Astronauta britÃƒÂ¢nico correrÃƒÂ¡ maratona de Londres no espaÃƒÂ§o,Astronauta;;;;;;;;;;;;;;;;;',2015,4,12,Negative
7816,7816,'Jonas Santana,2019-04-17T22:21:36,ernesto quanta raiva voc ficou bravinha est sens vel hoje linda,3,2,Astronauta pode bater recorde de permanÃƒÂªncia de mulher no espaÃƒÂ§o,Astronauta;;;;;;;;;;;;;;;;;',2019,4,17,Negative
7817,7817,'Alex Paulo,2019-04-17T17:46:41,coitada vai ficar andar dias semanas pois gravidade espa corpo ossos enfraquecem,2,7,Astronauta pode bater recorde de permanÃƒÂªncia de mulher no espaÃƒÂ§o,Astronauta;;;;;;;;;;;;;;;;;',2019,4,17,Negative
7822,7822,'Gilcimar Santos,2019-04-17T17:20:14,pessoal falando feia dias l outra mulher fica linda,11,3,Astronauta pode bater recorde de permanÃƒÂªncia de mulher no espaÃƒÂ§o,Astronauta;;;;;;;;;;;;;;;;;',2019,4,17,Negative
7825,7825,'Leonardo Miotto,2019-04-17T17:12:04,outro nome deve estar porta malas kkkkkkkkkkkkkkkkkkkk,9,0,Astronauta pode bater recorde de permanÃƒÂªncia de mulher no espaÃƒÂ§o,Astronauta;;;;;;;;;;;;;;;;;',2019,4,17,Negative
7826,7826,'Francisco MarÃƒÂ§al,2019-04-17T10:16:31,astronautas ficar minimo anos iss porque viagem marte ida volta levaria anos levando considera proximidade planeta terra marte,37,6,Astronauta pode bater recorde de permanÃƒÂªncia de mulher no espaÃƒÂ§o,Astronauta;;;;;;;;;;;;;;;;;',2019,4,17,Negative
7828,7828,'Carlos Menezes,2019-04-17T15:40:05,francisco mar al viagem n volta s ida marte primeiros irem ser pioneiros m ter virar m rtires causa n h tecnologia faze los voltar terra,7,1,Astronauta pode bater recorde de permanÃƒÂªncia de mulher no espaÃƒÂ§o,Astronauta;;;;;;;;;;;;;;;;;',2019,4,17,Negative
7834,7834,'Mangalarga Marchador,2019-04-17T14:36:20,n importa modelo roupa astronauta ficou tanto tempo,1,2,Astronauta pode bater recorde de permanÃƒÂªncia de mulher no espaÃƒÂ§o,Astronauta;;;;;;;;;;;;;;;;;',2019,4,17,Negative
7840,7840,'RogÃƒÂ©rio Ceni,2019-04-17T14:13:16,olha aqui tal cumedor vamos manerar piada baicho cal u ta akley,3,0,Astronauta pode bater recorde de permanÃƒÂªncia de mulher no espaÃƒÂ§o,Astronauta;;;;;;;;;;;;;;;;;',2019,4,17,Negative
7843,7843,'Rodrigo Soares,2019-04-17T12:56:39,deuznoslivre voltar terra,8,9,Astronauta pode bater recorde de permanÃƒÂªncia de mulher no espaÃƒÂ§o,Astronauta;;;;;;;;;;;;;;;;;',2019,4,17,Negative
7849,7849,'JosÃƒÂ© Vieira,2017-08-27T07:17:32,agner vai possamos ter segundo varej darmos continuidade vls n acredito acidente alcantara ma perdemos t cnicos engenheiros astronautas n sido acidente furtuito sim provocado,2,0,Jovem que sonha ser astronauta e descobriu asteroides vai voltar ÃƒÂ  Nasa para projeto educacional,Astronauta;;;;;;;;;;;;;;;;;',2017,8,27,Negative
7857,7857,'Wilson Oliveira,2017-08-26T21:15:33,brasil vergonha,10,3,Jovem que sonha ser astronauta e descobriu asteroides vai voltar ÃƒÂ  Nasa para projeto educacional,Astronauta;;;;;;;;;;;;;;;;;',2017,8,26,Negative
7858,7858,'JosÃƒÂ© Vieira,2017-08-27T07:14:04,vergonha ler coment rios oferta nasa ofereceu varej vls vc ideia n importava valores financeiros brasil ter avan ado tanto usa fez equipe alc ntara ma vc acredita acidente,1,0,Jovem que sonha ser astronauta e descobriu asteroides vai voltar ÃƒÂ  Nasa para projeto educacional,Astronauta;;;;;;;;;;;;;;;;;',2017,8,27,Negative
7860,7860,'Walter Quinzi,2017-08-26T22:05:06,parabens muitas felicidades pena pa s hip crita s v populismo sa problemas desse pa s,16,0,Jovem que sonha ser astronauta e descobriu asteroides vai voltar ÃƒÂ  Nasa para projeto educacional,Astronauta;;;;;;;;;;;;;;;;;',2017,8,26,Negative
7874,7874,'Angelo,2017-12-23T21:25:46,terra plana absurdo burrice aliada ignor ncia m f gera idiotas pior querem transmitir idiotice demais n deem cr dito bestas,13,2,"Morre Bruce McCandless II, primeiro astronauta a caminhar solto no espaÃƒÂ§o",Astronauta;;;;;;;;;;;;;;;;;',2017,12,23,Negative
7875,7875,'Luccas Daniel,2017-12-22T21:41:42,mentira ninguem nunca saiu terra kkkk domo escondem verdade nao sair donos mundo sabe mentira terra plana,10,51,"Morre Bruce McCandless II, primeiro astronauta a caminhar solto no espaÃƒÂ§o",Astronauta;;;;;;;;;;;;;;;;;',2017,12,22,Negative
7880,7880,'Very 10,2017-12-22T20:05:59,tristeza eua brindar mundo desenvolvimento aeroespacial precedentes go usa go trump,22,12,"Morre Bruce McCandless II, primeiro astronauta a caminhar solto no espaÃƒÂ§o",Astronauta;;;;;;;;;;;;;;;;;',2017,12,22,Negative
7882,7882,'Francisco,2017-12-22T20:01:32,i remember when he walked free in space at that historic eva that may have been small step neil armstrong but it s heck of big leap he was the capcom when neil first set foot on the moon rip bruce,9,9,"Morre Bruce McCandless II, primeiro astronauta a caminhar solto no espaÃƒÂ§o",Astronauta;;;;;;;;;;;;;;;;;',2017,12,22,Negative
7884,7884,'Paulo Caixeiro,2017-12-22T22:13:41,n perca tempo jeca perda portugu s correto faz perder tempo,19,1,"Morre Bruce McCandless II, primeiro astronauta a caminhar solto no espaÃƒÂ§o",Astronauta;;;;;;;;;;;;;;;;;',2017,12,22,Negative
7886,7886,'Mario Lins,2017-12-22T19:15:24,lamento sabendo sic volvere parcas,1,3,"Morre Bruce McCandless II, primeiro astronauta a caminhar solto no espaÃƒÂ§o",Astronauta;;;;;;;;;;;;;;;;;',2017,12,22,Negative
7891,7891,'Vander Melo,2012-03-13T09:52:09,jo errado n apesar achar deveria ser s erro tradu grego portugu s antartida j est consolidado tanto existem milhares artigos atlas enciclop dias etc usam nomenclatura n pode ser considerado algo incorreto voc n quer falar pois acha melhor si beleza algu m disser voc opor voc vai estar errado tentar corrigir algo acha estar incorreto,0,0,Astronauta fotografa aurora entre a AustrÃƒÂ¡lia e a AntÃƒÂ¡rtica,Astronauta;;;;;;;;;;;;;;;;;',2012,3,13,Negative
7896,7896,'Luis Lohmann,2012-03-13T10:38:30,resposta vander melo est eeeeeeeeeeeeeeeeeee exata parab ns vander boa parte palavras consideradas corretas melhor cultas hoje dia alteradas longo tempo in meros motivos sobre foto quest mat ria fant stico pagaria pr estar l espa poder presenciar espet culo,0,0,Astronauta fotografa aurora entre a AustrÃƒÂ¡lia e a AntÃƒÂ¡rtica,Astronauta;;;;;;;;;;;;;;;;;',2012,3,13,Negative
7904,7904,'Jonas Dias,2012-03-13T13:13:17,grandioso escudo contra radia solar h ache surgiu acaso,1,0,Astronauta fotografa aurora entre a AustrÃƒÂ¡lia e a AntÃƒÂ¡rtica,Astronauta;;;;;;;;;;;;;;;;;',2012,3,13,Negative
7906,7906,'Marcos Souza,2012-03-13T11:38:52,concerteza campo magn tico terra repelindo fortes tempestades solares est ocorrendo fico preocupado profecia maia verdade fatos est batendo sabe,0,0,Astronauta fotografa aurora entre a AustrÃƒÂ¡lia e a AntÃƒÂ¡rtica,Astronauta;;;;;;;;;;;;;;;;;',2012,3,13,Negative
7907,7907,'Mr. Nobody,2012-03-13T11:38:31,grandioso escudo contra radia solar h ache surgiu acaso,1,0,Astronauta fotografa aurora entre a AustrÃƒÂ¡lia e a AntÃƒÂ¡rtica,Astronauta;;;;;;;;;;;;;;;;;',2012,3,13,Negative
7918,7918,'Roberto Almeida,2015-02-25T19:29:06,gua vapor respira,50,4,Ãƒï¿½gua entra em capacete de astronauta apÃƒÂ³s caminhada espacial,Astronauta;;;;;;;;;;;;;;;;;',2015,2,25,Negative
7921,7921,'Multicopter,2015-02-25T23:06:23,espcial puts g n corretor ortogr fico n raro encontrar reportagem n menos erro digita,24,2,Ãƒï¿½gua entra em capacete de astronauta apÃƒÂ³s caminhada espacial,Astronauta;;;;;;;;;;;;;;;;;',2015,2,25,Negative
7928,7928,'Jose Oliveira,2013-04-12T17:07:57,marcos pontes espertalh mau car ter espa viagem paga cofres p blicos brasileiro retornou desligou rea brasileira indo reserva n dando qualquer retorno investimento brasil assim poderia cobrar difundir conhecimentos adquiriu viagem brasil gastou grana simplesmente bancou esperto lament vel,5,4,Astronauta Marcos Pontes pode voltar ao espaÃƒÂ§o em 2015 ,Astronauta;;;;;;;;;;;;;;;;;',2013,12,4,Negative
7931,7931,'Dj Comodoro,2013-05-02T03:37:08,criticar qualquer idiota sabe fazer quero ver correr atr s fazer melhor,7,1,Astronauta Marcos Pontes pode voltar ao espaÃƒÂ§o em 2015 ,Astronauta;;;;;;;;;;;;;;;;;',2013,2,5,Negative
7939,7939,'Lucas Guastaferro,2013-04-12T16:31:09,s n voltar espa plantar feij porque brasil j n conseguiu fabricar partes acordadas espacial internacional pagar lugar foguete vamos usar viagem pa s menos fotos oficiais,2,2,Astronauta Marcos Pontes pode voltar ao espaÃƒÂ§o em 2015 ,Astronauta;;;;;;;;;;;;;;;;;',2013,12,4,Negative
7941,7941,'Emerson Melo,2013-04-12T17:15:51,concordo jose oliveira fez coment rio idiota retorno dizendo amaz nia ainda muita mata triste,1,0,Astronauta Marcos Pontes pode voltar ao espaÃƒÂ§o em 2015 ,Astronauta;;;;;;;;;;;;;;;;;',2013,12,4,Negative
7946,7946,'Antonio Oliveira,2016-02-05T22:52:23,incr vel mundo louco ainda gente n acredita homem lua,90,44,"Morre Edgar Mitchell, astronauta americano que caminhou na Lua",Astronauta;;;;;;;;;;;;;;;;;',2016,5,2,Negative
7949,7949,'Saulo Felipe,2016-02-06T03:12:55,la vem voc s novo lorota ir lua ja deu homem nunca nunca ir canto nenhum desta terra deus deu dificil entender ponto final,8,49,"Morre Edgar Mitchell, astronauta americano que caminhou na Lua",Astronauta;;;;;;;;;;;;;;;;;',2016,6,2,Negative
7954,7954,'Eysler Silva,2016-02-07T20:08:53,n falha memoria alemanha j final segunda guerra falta material humano colocava pilotos civis avi es militares,5,0,"Morre Edgar Mitchell, astronauta americano que caminhou na Lua",Astronauta;;;;;;;;;;;;;;;;;',2016,7,2,Negative
7959,7959,'Verdade Crua,2016-02-06T10:42:27,dificil acreditar fato ocorreu epoca tecnologia engatinhava agora tecnologia est infinitamente avan ada n acontece tal feito homem realmente lua naquela epoca dias hoje estar morando l tirando self planeta terra,10,7,"Morre Edgar Mitchell, astronauta americano que caminhou na Lua",Astronauta;;;;;;;;;;;;;;;;;',2016,6,2,Negative
7960,7960,'Eduardo Souza,2016-02-06T21:39:38,verdade crua voc t ignorante n sabe n h interesse ir lua ainda escreve self,2,3,"Morre Edgar Mitchell, astronauta americano que caminhou na Lua",Astronauta;;;;;;;;;;;;;;;;;',2016,6,2,Negative
7970,7970,'FÃƒÂ¡bio Cunha,2016-02-06T13:12:40,corre morre astronauta andou est dio simulando lua anos andaram ter comercial cerveja hoje l,4,10,"Morre Edgar Mitchell, astronauta americano que caminhou na Lua",Astronauta;;;;;;;;;;;;;;;;;',2016,6,2,Negative
7971,7971,'Luciano Neves,2016-02-06T13:04:20,kkkkkkkk ida lua t farsa at astronauta morreu duas vezes,2,3,"Morre Edgar Mitchell, astronauta americano que caminhou na Lua",Astronauta;;;;;;;;;;;;;;;;;',2016,6,2,Negative
7975,7975,'Luiz Fernando,2016-02-06T11:17:41,roose shepard morreu,15,0,"Morre Edgar Mitchell, astronauta americano que caminhou na Lua",Astronauta;;;;;;;;;;;;;;;;;',2016,6,2,Negative
7976,7976,'Weydson Oliveira,2016-02-06T12:29:40,kkkk ido hoje haveria passeio tur stico pra lua,4,3,"Morre Edgar Mitchell, astronauta americano que caminhou na Lua",Astronauta;;;;;;;;;;;;;;;;;',2016,6,2,Negative
7978,7978,'Edson Penner,2016-02-06T12:08:56,lendo materia encontro seguinte roose shepard morreu ai morreu vezes,0,0,"Morre Edgar Mitchell, astronauta americano que caminhou na Lua",Astronauta;;;;;;;;;;;;;;;;;',2016,6,2,Negative
7981,7981,'Anderson Carneiro,2016-02-06T12:21:36,morreu mentiroso nunca lua,4,4,"Morre Edgar Mitchell, astronauta americano que caminhou na Lua",Astronauta;;;;;;;;;;;;;;;;;',2016,6,2,Negative
7984,7984,'Leonardo Calazans,2016-02-06T11:05:40,mundo cheio mentiras onde cada dia escandalizamos falta tica governantes fazendo coisas absurdas corrup matando povo fome nome dinheiro onde vimos capacidade eua enganar perseguir roubar informa es revelados edward snowden vcs querem acredite homem lua plena gerra fria,9,3,"Morre Edgar Mitchell, astronauta americano que caminhou na Lua",Astronauta;;;;;;;;;;;;;;;;;',2016,6,2,Negative
7985,7985,'David Sousa,2016-02-06T05:46:55,homem lua kkkkk ano deixa co ar saco aqui,14,33,"Morre Edgar Mitchell, astronauta americano que caminhou na Lua",Astronauta;;;;;;;;;;;;;;;;;',2016,6,2,Negative
7987,7987,'Verdade Crua,2016-02-06T10:44:20,maiores mentiras humanidade inventada norte americanos,8,8,"Morre Edgar Mitchell, astronauta americano que caminhou na Lua",Astronauta;;;;;;;;;;;;;;;;;',2016,6,2,Negative
7994,7994,'Rubens,2016-02-06T08:28:33,alexandre sovieticos tamb m chegaram lua s n pousaram desistiram disso americanos primeiros al m primeira descida havia nave russa rbita lua americanos russos trocaram informa es devido problema aconteceu nave americana,6,1,"Morre Edgar Mitchell, astronauta americano que caminhou na Lua",Astronauta;;;;;;;;;;;;;;;;;',2016,6,2,Negative
7995,7995,'Rubens,2016-02-06T08:31:19,completando dois inimigos mortais poucos anos antes quase levaram mundo guerra atomica iriam montar juntos farsa motivo,11,1,"Morre Edgar Mitchell, astronauta americano que caminhou na Lua",Astronauta;;;;;;;;;;;;;;;;;',2016,6,2,Negative
7996,7996,'Antonio Oliveira,2016-02-06T09:37:42,poxa gente t cheio s tom ver crer felizes n viram creram,1,1,"Morre Edgar Mitchell, astronauta americano que caminhou na Lua",Astronauta;;;;;;;;;;;;;;;;;',2016,6,2,Negative
7998,7998,'Joao Silveira,2016-02-06T09:30:34,tambem sempre achei nunca pisaram lua porque hoje tanta tecnologia n conseguem epoca farsa n tecnologia,1,2,"Morre Edgar Mitchell, astronauta americano que caminhou na Lua",Astronauta;;;;;;;;;;;;;;;;;',2016,6,2,Negative
8009,8009,'Isnpms,2016-02-06T08:00:04,roose shepard morreu morreu reencarnou morreu anos tendo ido lua ta estagi rios,9,1,"Morre Edgar Mitchell, astronauta americano que caminhou na Lua",Astronauta;;;;;;;;;;;;;;;;;',2016,6,2,Negative
8010,8010,'Tiago,2016-02-06T07:48:18,sovi ticos maiores inimigos eua afirmaram lua sim ent n conversa,8,3,"Morre Edgar Mitchell, astronauta americano que caminhou na Lua",Astronauta;;;;;;;;;;;;;;;;;',2016,6,2,Negative
8015,8015,'Newton Borges,2016-02-06T06:39:08,meio confuso mat ria diz mitchell total horas minutos espa nico astronauta dessa miss ainda vivia roose shepard morreu quer dizer rose shepard morreu duas vezes morte verdadeira pq anos bom per odo tempo n acham,4,1,"Morre Edgar Mitchell, astronauta americano que caminhou na Lua",Astronauta;;;;;;;;;;;;;;;;;',2016,6,2,Negative
8016,8016,'Kleber Pereira,2016-02-06T07:24:33,newton roose astronauta shepard outro falha edi,3,1,"Morre Edgar Mitchell, astronauta americano que caminhou na Lua",Astronauta;;;;;;;;;;;;;;;;;',2016,6,2,Negative
8017,8017,'InÃƒÂ¡cio Almeida,2016-02-06T07:14:42,homem conseguiu ir lua brasil n consegue meter cadeia corruptos ficam rindo cara povo homem consegue ir lua n consegue acabar fome,1,0,"Morre Edgar Mitchell, astronauta americano que caminhou na Lua",Astronauta;;;;;;;;;;;;;;;;;',2016,6,2,Negative
8018,8018,'Adilson Silva,2016-02-06T00:45:17,erro par grafo informam tempo total voo astronauta mitchell texto informa roose shepard morreu duas vezes texto afirma morreu,8,1,"Morre Edgar Mitchell, astronauta americano que caminhou na Lua",Astronauta;;;;;;;;;;;;;;;;;',2016,6,2,Negative
8020,8020,'Antonio Simoes,2016-02-06T06:09:34,amigo roose shepard s outros dois astronautas lua realmente erro pois nomes n est separados,0,0,"Morre Edgar Mitchell, astronauta americano que caminhou na Lua",Astronauta;;;;;;;;;;;;;;;;;',2016,6,2,Negative
8021,8021,'Roberto,2016-02-06T04:46:22,at hoje brasil n consegue lan ar lapis espa algo estados unidos estudantes faculdade conseguem fazer inveja deve doer kkkkkk,5,0,"Morre Edgar Mitchell, astronauta americano que caminhou na Lua",Astronauta;;;;;;;;;;;;;;;;;',2016,6,2,Negative
8024,8024,'Bm GÃƒÂ¡s,2016-02-06T01:40:24,roose morreu,3,0,"Morre Edgar Mitchell, astronauta americano que caminhou na Lua",Astronauta;;;;;;;;;;;;;;;;;',2016,6,2,Negative
8026,8026,'Milton Piccinini,2016-02-05T22:49:56,vai direto inferno existe morreu n coragem denunciar farsa ida lua,14,16,"Morre Edgar Mitchell, astronauta americano que caminhou na Lua",Astronauta;;;;;;;;;;;;;;;;;',2016,5,2,Negative
8030,8030,'Silvio Santos,2016-02-05T22:02:27,piada pronta queriam escrever roosa shepard morreram respectivamente m escreveram roose shepard morreu algu m morreu duas vezes,24,4,"Morre Edgar Mitchell, astronauta americano que caminhou na Lua",Astronauta;;;;;;;;;;;;;;;;;',2016,5,2,Negative
8032,8032,'Antonio Junior,2016-02-05T21:54:06,roose shepard morreu,15,2,"Morre Edgar Mitchell, astronauta americano que caminhou na Lua",Astronauta;;;;;;;;;;;;;;;;;',2016,5,2,Negative
8045,8045,'Lvcy Lux,2012-09-15T08:41:39,creio abriram cova leio mar fam lia pediria lan assem espa,0,0,Cinzas do astronauta Neil Armstrong sÃƒÂ£o sepultadas no mar,Astronauta;;;;;;;;;;;;;;;;;',2012,9,15,Negative
8047,8047,'Geraldo Rabelo, 16 Jul 2013 19:44:18,viagem espacial p capacete cheio gua cabe deste troll,0,0,Capacete vaza ÃƒÂ¡gua e astronauta cancela trabalho fora da ISS,Astronauta;;;;;;;;;;;;;;;;;',2013,7,16,Negative
8053,8053,'George Rocha,2013-07-16T19:52:46,povo joga tudo responsabilidade deus vergonha humanidade,0,1,Capacete vaza ÃƒÂ¡gua e astronauta cancela trabalho fora da ISS,Astronauta;;;;;;;;;;;;;;;;;',2013,7,16,Negative
8054,8054,'Ademar Cunha,2013-07-16T20:13:49,capacete estevisse cheio vinho italiano n voltava n,0,0,Capacete vaza ÃƒÂ¡gua e astronauta cancela trabalho fora da ISS,Astronauta;;;;;;;;;;;;;;;;;',2013,7,16,Negative
8055,8055,'Aurio Campos,2013-07-17T01:53:52,vazamento cacha lula tava l,0,0,Capacete vaza ÃƒÂ¡gua e astronauta cancela trabalho fora da ISS,Astronauta;;;;;;;;;;;;;;;;;',2013,7,17,Negative
8069,8069,'AcrÃƒÂ¡cio Acrat,2013-09-06T14:03:54,pena ignorem gente doente precisam chamar aten s s inofensivas,0,0,Astronauta registra formaÃƒÂ§ÃƒÂ£o geolÃƒÂ³gica direto da EstaÃƒÂ§ÃƒÂ£o Espacial,Astronauta;;;;;;;;;;;;;;;;;',2013,6,9,Negative
8071,8071,'Antonio Silva,2017-03-20T23:27:22,acho estado coroa mora drogas j est liberadas,2,2,Astronauta Buzz Aldrin quer construir ciclovia para colonizar planeta Marte,Astronauta;;;;;;;;;;;;;;;;;',2017,3,20,Negative
8073,8073,'Mario Junior,2017-03-20T08:44:30,malucos devem ter assistido filme perdido marte surtaram efeitos especiais cinema coisa coloniza marte algo pertence s sonhadores iludidos,5,9,Astronauta Buzz Aldrin quer construir ciclovia para colonizar planeta Marte,Astronauta;;;;;;;;;;;;;;;;;',2017,3,20,Negative
8078,8078,'Robert Stephen,2017-03-20T09:40:22,fez mal metade,1,0,Astronauta Buzz Aldrin quer construir ciclovia para colonizar planeta Marte,Astronauta;;;;;;;;;;;;;;;;;',2017,3,20,Negative
8084,8084,'Felipe Mattos,2017-03-20T05:10:47,terra plana nasa mente homem nunca lua,19,20,Astronauta Buzz Aldrin quer construir ciclovia para colonizar planeta Marte,Astronauta;;;;;;;;;;;;;;;;;',2017,3,20,Negative
8085,8085,'Rene Prouvo,2017-03-20T08:24:13,kkkkkkk ok deus criou mundo dias jesus fez mar abrir andou sobre guas kkk,1,3,Astronauta Buzz Aldrin quer construir ciclovia para colonizar planeta Marte,Astronauta;;;;;;;;;;;;;;;;;',2017,3,20,Negative
8091,8091,'Mayombe Luanda,2016-01-13T14:09:06,import ncia dessa mat ria acaso algum n s aqui vai pro espa ah polpe falta mat rias interessantes,24,71,Astronauta britÃƒÂ¢nico demonstra como beber ÃƒÂ¡gua flutuante no espaÃƒÂ§o,Astronauta;;;;;;;;;;;;;;;;;',2016,1,13,Negative
8094,8094,'Angelo Malaquias,2016-01-13T18:35:21,muita falta assunto,0,4,Astronauta britÃƒÂ¢nico demonstra como beber ÃƒÂ¡gua flutuante no espaÃƒÂ§o,Astronauta;;;;;;;;;;;;;;;;;',2016,1,13,Negative
8095,8095,'Angelo Malaquias,2016-01-13T18:58:16,achei superficial podiam chamar algu m alguma universidade explicar rela tensao superficial massa gravidade peso forma desta esp cie bolha ai contribuiria engrandecimento intelectual leitores,8,0,Astronauta britÃƒÂ¢nico demonstra como beber ÃƒÂ¡gua flutuante no espaÃƒÂ§o,Astronauta;;;;;;;;;;;;;;;;;',2016,1,13,Negative
8096,8096,'Cezar Augusto2,2016-01-13T17:11:39,cade mongoloides acreditam terra plana agora,5,0,Astronauta britÃƒÂ¢nico demonstra como beber ÃƒÂ¡gua flutuante no espaÃƒÂ§o,Astronauta;;;;;;;;;;;;;;;;;',2016,1,13,Negative
8111,8111,'Justo,2012-06-15T13:03:14,cheiraram lah baixo tamb m certeza reprovada kkkkkkkkkk,0,0,China vai mandar sua primeira astronauta mulher ao espaÃƒÂ§o,Astronauta;;;;;;;;;;;;;;;;;',2012,6,15,Negative
8112,8112,'Awpheadshot,2012-06-15T17:30:22,brasileiro reclamar tudo olhar oq mulher bunda gigante seguranca,0,0,China vai mandar sua primeira astronauta mulher ao espaÃƒÂ§o,Astronauta;;;;;;;;;;;;;;;;;',2012,6,15,Negative
8115,8115,'Bmd Producer,2012-06-15T10:47:04,feia cheirosinha,0,0,China vai mandar sua primeira astronauta mulher ao espaÃƒÂ§o,Astronauta;;;;;;;;;;;;;;;;;',2012,6,15,Negative
8118,8118,'MÃƒÂ¡rcio Pires,2011-12-05T15:18:09,sim devemos orgulhar brasileiro b mai sculo levando vez bandeira agora org onu insistem escrever besteiras sobre voc desprezo esperan dia oportunidade ler algum livros presenciar palestra m rito fez j s ineg vel toda trajet ria parab ns marcos pontes,0,0,Onudi nomeia astronauta brasileiro Marcos Pontes como embaixador,Astronauta;;;;;;;;;;;;;;;;;',2011,5,12,Negative
8128,8128,'Cidade Litoranea,2012-08-26T00:13:43,fico lendo coment rios aqui vejo quanta ignor ncia ta povinho devem acreditar terra sustentada elefantes,2,0,Veja vÃƒÂ­deos sobre a trajetÃƒÂ³ria do astronauta Neil Armstrong,Astronauta;;;;;;;;;;;;;;;;;',2012,8,26,Negative
8132,8132,'Mauni Nascimento,2012-08-25T18:40:41,baseado sr paulo sergio afirma homem lua esclare favor baseia fotos manipuladas imagens criadas estudio coitado alienado m dia s agora sr neil lua pois morreu,1,0,Veja vÃƒÂ­deos sobre a trajetÃƒÂ³ria do astronauta Neil Armstrong,Astronauta;;;;;;;;;;;;;;;;;',2012,8,25,Negative
8135,8135,'William Brown,2012-08-25T17:59:57,ironia dia lance armstrong decide entregar pontos assumir forma indireta dopava armstrong heroi verdade vai,0,0,Veja vÃƒÂ­deos sobre a trajetÃƒÂ³ria do astronauta Neil Armstrong,Astronauta;;;;;;;;;;;;;;;;;',2012,8,25,Negative
8141,8141,'claudia china,2012-08-25T19:07:26,homem definitivamente lua muita falta conhecimento dizer homem nao pisou lua lamentavel falta conhecimento pessoas lamentavelmente nao,0,0,Veja vÃƒÂ­deos sobre a trajetÃƒÂ³ria do astronauta Neil Armstrong,Astronauta;;;;;;;;;;;;;;;;;',2012,8,25,Negative
8145,8145,'ClÃƒÂ¡udio Renato,2012-08-25T22:04:36,hoje dia falar homen lua brincadeira nenem caras estav louco alguma droga forte lua nada lata velha hheheheh porque ninguem vai lua agora,0,0,Veja vÃƒÂ­deos sobre a trajetÃƒÂ³ria do astronauta Neil Armstrong,Astronauta;;;;;;;;;;;;;;;;;',2012,8,25,Negative
8147,8147,'Ranniery Teixeira,2012-08-25T21:59:09,v deo canal f apos minutos responde conspiracionistas sobre ida homem lua n s americanos dizem homem lua todos cientistas s rios mundo acreditam nisso inclusive russos disputaram corrida espacial eua todos argumentos conspiracionistas j refutados n leem continuam repetindo mesma ladainha procurem tamb m youtube ca adores mitos desmentem teoria conspira,0,0,Veja vÃƒÂ­deos sobre a trajetÃƒÂ³ria do astronauta Neil Armstrong,Astronauta;;;;;;;;;;;;;;;;;',2012,8,25,Negative
8154,8154,'Tiago Gomes,2012-08-27T17:53:52,nunca leram livro vida m ximo livro escatol gico malafaia b blia nunca leram querem vir discutir fatos conosco,0,0,Veja vÃƒÂ­deos sobre a trajetÃƒÂ³ria do astronauta Neil Armstrong,Astronauta;;;;;;;;;;;;;;;;',2012,8,27,Negative
8157,8157,'Daniel Flumelhor,2012-08-25T23:47:24,todos comentam achando homem s lua vez verdade soubessem j outras viagens n falariam tanta besteira miss es apollo pousaram lua usando m dulo lunar apollo apollo apollo apollo apollo apollo,0,0,Veja vÃƒÂ­deos sobre a trajetÃƒÂ³ria do astronauta Neil Armstrong,Astronauta;;;;;;;;;;;;;;;;;',2012,8,25,Negative
8162,8162,'Evandro Gouveia,2012-08-26T09:25:00,vc duvida homem lua pode comprar terreno c u vc n passa retardado mental v escola,0,0,Veja vÃƒÂ­deos sobre a trajetÃƒÂ³ria do astronauta Neil Armstrong,Astronauta;;;;;;;;;;;;;;;;;',2012,8,26,Negative
8163,8163,'Paulo Junior,2012-08-26T08:49:37,mentira n condi homem ter ido lua naum,0,0,Veja vÃƒÂ­deos sobre a trajetÃƒÂ³ria do astronauta Neil Armstrong,Astronauta;;;;;;;;;;;;;;;;;',2012,8,26,Negative
8166,8166,'Walmes On,2012-08-27T22:26:26,legal uns erros canal f v deo est errado pois aparece apolo,0,0,Veja vÃƒÂ­deos sobre a trajetÃƒÂ³ria do astronauta Neil Armstrong,Astronauta;;;;;;;;;;;;;;;;;',2012,8,27,Negative
8172,8172,'Dina AraÃƒÂºjo,2013-04-17T01:15:17,deve chorar mudou vida paraibanos,0,1,Astronauta canadense posta foto de JoÃƒÂ£o Pessoa em rede social,Astronauta;;;;;;;;;;;;;;;;;',2013,4,17,Negative
8173,8173,'Ricardo Aguiar,2013-04-12T19:07:06,perto distante cidade extremamente apaixonante,9,0,Astronauta canadense posta foto de JoÃƒÂ£o Pessoa em rede social,Astronauta;;;;;;;;;;;;;;;;;',2013,12,4,Negative
